Index,Textual Faithfulness,Frame Consistency,Video Fidelity,Source Video,Edited Video,key,tasks,target_dirs,models,caption,editing_prompt,Textual Faithfulness_w1,Textual Faithfulness_w2,Textual Faithfulness_w3,Textual Faithfulness_w4,Frame Consistency_w1,Frame Consistency_w2,Frame Consistency_w3,Frame Consistency_w4,Video Fidelity_w1,Video Fidelity_w2,Video Fidelity_w3,Video Fidelity_w4
1110,3,2.5,1.5,camel,camel_1_v_6,camel,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A camel walking in an enclosure with a fence,A giraffe walking in a desert with a fence,3,3,3,3,3,2,3,2,1,1,2,2
1111,1.75,2,1.5,elephant,elephant_1_v_6,elephant,Multi-entity,Multi-entity/TokenFlow,TokenFlow,"An elephant is walking in the zoo, raising dust with its trunk, with rocks and trees in the background","A giraffe is walking in the zoo, raising dust with its trunk, with grass and ponds in the background",1,2,2,2,2,2,2,2,1,1,2,2
1112,2.5,3,2.75,tennis-vest,tennis-vest_1_v_6,tennis-vest,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A man wearing a tank top and undershirt is playing a game of tennis on a clay court,A woman wearing a tank top and undershirt is playing a game of tennis on a grass court,2,3,2,3,4,3,2,3,4,2,2,3
1113,1.5,1.5,1.5,horse-race,horse-race_1_v_6,horse-race,Multi-entity,Multi-entity/TokenFlow,TokenFlow,"Horses are racing in a muddy track during a rainstorm, with one horse running ahead and the others closely behind","Dogs are racing in a sandy track during a rainstorm, with one dog running ahead and the others closely behind",1,2,1,2,2,1,1,2,2,1,1,2
1114,2.25,2.25,2.25,e-bike,e-bike_1_v_6,e-bike,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A man is riding a weird looking four wheeled scooter at a trade show,A spider-man is riding a futuristic four-wheeled scooter at an outdoor park,2,2,2,3,3,2,2,2,3,2,2,2
1115,2.25,2.5,2.5,surfer,surfer_1_v_6,surfer,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A man rides a surfboard in the water while others hold onto their surfboards and watch,A zombie rides a surfboard in the icy waters while others hold onto their surfboards and watch,3,3,1,2,4,3,1,2,4,3,1,2
1116,1.75,2,1.75,chamaleon,chamaleon_1_v_6,chamaleon,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A green chameleon is seen latched onto a branch,A brown chameleon is seen latched onto a rock,1,2,1,3,2,2,1,3,2,1,1,3
1117,2,2,2,snowboard-race,snowboard-race_1_v_6,snowboard-race,Multi-entity,Multi-entity/TokenFlow,TokenFlow,Two people are snowboarding down a snowy slope with snowy mountains in the background,Two astronauts are snowboarding down a snowy slope with ocean in the background,1,2,1,4,2,2,1,3,2,2,1,3
1118,1.5,1.75,1.75,cat-girl,cat-girl_1_v_6,cat-girl,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A little girl is sitting on a chair holding a cat in her arms,A young boy is sitting on a chair holding a dog in his arms,1,2,1,2,2,2,1,2,2,2,1,2
1119,2.25,2,2,speed-skating,speed-skating_1_v_6,speed-skating,Multi-entity,Multi-entity/TokenFlow,TokenFlow,"Three men are competing in a short track speed skating competition, skating closely on the track","Three old lady are competing in a short track speed skating competition, skating closely on the ice rink",1,4,2,2,1,3,2,2,1,3,2,2
1120,1.5,1.5,1.5,stroller,stroller_1_v_6,stroller,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A woman pushing a stroller with a baby in it,A bat-man pushing a wheelchair with a sleeping baby in it,1,2,1,2,1,2,1,2,1,2,1,2
1121,2.25,2.25,2.25,varanus-tree,varanus-tree_1_v_6,varanus-tree,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A lizard on a leash climbing up a tree,A snake on a leash climbing up a rock wall,2,2,2,3,2,2,2,3,2,2,2,3
1122,3,3.25,3,rallye,rallye_1_v_6,rallye,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A rally car is driving down a dirt road,A Subaru rally car is driving down a rocky path,3,3,3,3,4,3,3,3,4,2,3,3
1123,2.25,2.25,2,mtb-race,mtb-race_1_v_6,mtb-race,Multi-entity,Multi-entity/TokenFlow,TokenFlow,Two people are riding bikes on a wooded trail in a forest,Two robots are riding motorcycles on a wooded trail in a jungle,2,3,1,3,2,3,1,3,2,2,1,3
1124,1.25,1.5,1.25,dog-gooses,dog-gooses_1_v_6,dog-gooses,Multi-entity,Multi-entity/TokenFlow,TokenFlow,"A dog is chasing two ducks on the grass, with a white car and a fence in the background","A cat is chasing two geese on the beach, with a white boat and a palm tree in the background",1,1,1,2,2,1,1,2,1,1,1,2
1125,1.75,1.75,1.75,circus,circus_1_v_6,circus,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A boy is flipping over a circle formed by a girl and a boy in the circus,A clown is flipping over a circle formed by a girl and a boy in the carnival,1,3,1,2,2,2,1,2,2,2,1,2
1126,3.25,3.25,3.25,car-roundabout,car-roundabout_1_v_6,car-roundabout,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A black car is driving on the roundabout road,A silver car is driving on the winding mountain road,4,3,3,3,5,2,3,3,5,2,3,3
1127,2.75,2.75,2.75,breakdance-flare,breakdance-flare_1_v_6,breakdance-flare,Multi-entity,Multi-entity/TokenFlow,TokenFlow,A man breakdancing in front of a building,A robot breakdancing in front of a historic castle,2,3,3,3,2,3,3,3,2,3,3,3
1128,3.5,3.75,3.25,flamingo,flamingo_1_v_7,flamingo,Complex-editing,Complex-editing/TokenFlow,TokenFlow,"A flamingo is walking and drinking in the water, with two flamingos resting in the pond in the background","A heron is walking and drinking in the water, with two herons resting in the sea in the background, in Van Gogh style",3,3,4,4,4,3,4,4,4,2,3,4
1129,2.75,3.25,3.25,gold-fish,gold-fish_1_v_7,gold-fish,Complex-editing,Complex-editing/TokenFlow,TokenFlow,Goldfish in an aquarium with a blue background,"Betta fish in an aquarium with a green background, in Van Gogh style",3,3,2,3,4,3,2,4,4,3,2,4
1130,3.25,3.75,3.75,bears-ball,bears-ball_1_v_7,bears-ball,Complex-editing,Complex-editing/TokenFlow,TokenFlow,"Three brown bears are walking and playing with a red ball on the ground covered with leaves, with the forest as the background","Three black bears are walking and playing with a blue ball on the ground covered with leaves, with the jungle as the background, in Abstract style",2,3,4,4,4,3,4,4,4,3,4,4
1131,2.5,2.5,2.5,horsejump-stick,horsejump-stick_1_v_7,horsejump-stick,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A young girl riding a piebald horse and jumping obstacles in the arena,"A young boy riding a piebald pony and jumping colorful obstacles in the desert oasis, in sunrise colors",3,2,3,2,3,2,3,2,4,2,2,2
1132,1.5,1.75,1.5,dance-jump,dance-jump_1_v_7,dance-jump,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A woman in a tutu dancing in front of a fountain,"A man in a tutu dancing in front of a castle, in Oil painting style",1,2,1,2,2,2,1,2,2,1,1,2
1133,1.5,1.75,1.75,landing,landing_1_v_7,landing,Complex-editing,Complex-editing/TokenFlow,TokenFlow,"Two men in uniforms are standing on the deck of an aircraft carrier, a fighter jet is landing","Two astronauts in uniforms are standing against a city skyline, a white passenger plane is taking off, in Abstract style",1,1,1,3,2,1,1,3,2,1,1,3
1134,3,3.5,3,mbike-trick,mbike-trick_1_v_7,mbike-trick,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A man wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him,"A robot wearing a helmet and a white T-shirt is riding a dirt bike in a desert to create smoke circles around him, in Abstract style",2,3,3,4,4,3,3,4,4,3,2,3
1135,3.25,2.75,2.5,boat,boat_1_v_7,boat,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A white boat is seen moving quickly through the water in an area surrounded by desert and mountains,"A jet ski is seen moving quickly through the water in an area surrounded by grasslands and mountains, in tropical beach colors",4,2,4,3,4,1,3,3,4,1,2,3
1136,3,3,3.25,drift-turn,drift-turn_1_v_7,drift-turn,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A vehicle drifts through a course while driving over several obstacles,"A truck drifts through a desert course while driving over several obstacles, in grayscale",3,3,3,3,4,2,3,3,4,3,3,3
1137,1.5,1.75,1.75,table-tennis,table-tennis_1_v_7,table-tennis,Complex-editing,Complex-editing/TokenFlow,TokenFlow,Two men are competing in a table tennis match,"Two robots are competing in a table tennis match, in grayscale",1,2,1,2,2,2,1,2,2,2,1,2
1138,3.5,3.5,3.25,car-turn,car-turn_1_v_7,car-turn,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A suv driving down a winding road with mountains in the background,"A jeep driving down a winding road with a volcano in the background, in Van Gogh style",4,3,3,4,4,3,3,4,4,2,3,4
1139,1.25,1.5,1.5,koala,koala_1_v_7,koala,Complex-editing,Complex-editing/TokenFlow,TokenFlow,Koala bear climbing on a tree trunk,"Panda bear climbing on a utility pole, in Abstract style",1,2,1,1,2,2,1,1,2,2,1,1
1140,1.5,1.75,1.75,boxing-fisheye,boxing-fisheye_1_v_7,boxing-fisheye,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A boxing match between two young men is taking place in an outdoor ring while a crowd of people watches,"A boxing match between two young robots is taking place in a space ship while a crowd of aliens watches, in tropical beach colors",1,2,1,2,2,2,1,2,2,2,1,2
1141,1.25,1.5,1.5,dolphins,dolphins_1_v_7,dolphins,Complex-editing,Complex-editing/TokenFlow,TokenFlow,Dolphins swimming in the ocean with a blue sky,"Sharks swimming in the ocean with a stormy sky, in Cartoon style",1,2,1,1,2,2,1,1,2,2,1,1
1142,1.75,2,1.75,rhino,rhino_1_v_7,rhino,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A rhino walking through a zoo enclosure with rocks and trees,"An elephant walking through a zoo enclosure with a pond and grasses, in Oil painting style",1,2,2,2,2,2,2,2,1,2,2,2
1143,1.5,1.5,1.5,rollerblade,rollerblade_1_v_7,rollerblade,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A girl is doing tricks on roller skates while jumping into the air in front of a graffiti wall,"A professional dancer is doing tricks on roller skates while jumping into the air in front of a city skyline, in rainy day colors",1,2,1,2,2,1,1,2,2,1,1,2
1144,2,2,2,tennis,tennis_1_v_7,tennis,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A man is playing tennis on a clay court,"A spider-man player is playing tennis on a grass court, in winter wonderland colors",2,2,1,3,2,2,1,3,2,2,1,3
1145,1.5,1.75,1.75,aerobatics,aerobatics_1_v_7,aerobatics,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A man is riding in a hang glider and has a view of the earth below,"An astronaut is riding in a paraglider and has a view of the earth below, in sunrise colors",1,2,1,2,2,2,1,2,2,2,1,2
1146,2.5,3,3,planes-water,planes-water_1_v_7,planes-water,Complex-editing,Complex-editing/TokenFlow,TokenFlow,An airplane is taxiing on a wet tarmac on a cloudy day,"A commercial airliner is taxiing on a wet runway on a stormy day, in Cartoon style",3,3,1,3,5,3,1,3,5,3,1,3
1147,2.5,2.75,2.5,subway,subway_1_v_7,subway,Complex-editing,Complex-editing/TokenFlow,TokenFlow,People walking on the platform of a subway train in a station,"Robots walking on the platform of a cyberpunk style subway train in a forest clearing, in Oil painting style",3,2,2,3,4,2,2,3,3,2,2,3
1148,3.25,3,3,libby,libby_1_v_7,libby,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A dog is running on a grassy path in a yard with a fence,"A cat is running on a sand beach by the ocean, in winter wonderland colors",3,3,3,4,4,2,3,3,4,2,3,3
1149,1.75,1.75,1.75,girl-dog,girl-dog_1_v_7,girl-dog,Complex-editing,Complex-editing/TokenFlow,TokenFlow,"A woman in a wheelchair and a dog are walking side by side, with a cobblestone road and grass in the background","An astronaut in a wheelchair and a cat are walking side by side, with a dirt path and wildflowers in the background, in vintage postcard colors",2,1,1,3,2,1,1,3,2,1,1,3
1150,1.75,2.5,2.25,dog-agility,dog-agility_1_v_7,dog-agility,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A Border Collie is running through a course of poles in a training field,"A German Shepherd is running through a course of red and blue striped poles in an agility park, in sunset colors",2,2,1,2,4,3,1,2,4,2,1,2
1151,3.25,3.75,4,mallard-water,mallard-water_1_v_7,mallard-water,Complex-editing,Complex-editing/TokenFlow,TokenFlow,a duck swimming in the water,"A swan swimming in a swimming pool, in Van Gogh style",3,3,3,4,4,4,3,4,4,4,4,4
1152,2.25,2.5,2.5,ducks,ducks_1_v_7,ducks,Complex-editing,Complex-editing/TokenFlow,TokenFlow,"A group of ducks are walking on the grass near a river, passing under the fence","A group of geese are walking on the sand near a river, passing under the bridge, in Abstract style",2,2,2,3,3,2,2,3,3,2,2,3
1153,2.75,2.75,2.75,breakdance,breakdance_1_v_7,breakdance,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A man is breakdancing in the street while a crowd of people watches,"A woman is breakdancing on the beach while a group of tourists watches, in grayscale",3,3,2,3,4,2,2,3,4,2,2,3
1154,2.5,2.75,2.25,car-competition,car-competition_1_v_7,car-competition,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A group of race cars driving down a race track,"A pack of NASCAR race cars driving down a dirt road, in Cartoon style",3,3,2,2,4,3,2,2,4,2,1,2
1155,1.5,1.75,1.75,twist-dance,twist-dance_1_v_7,twist-dance,Complex-editing,Complex-editing/TokenFlow,TokenFlow,Two women in red and black skirts dancing in a room,"Two robots in red and black skirts dancing in a ballroom, in Cartoon style",1,2,1,2,2,2,1,2,2,2,1,2
1156,3.25,2.75,3,monster-trucks,monster-trucks_1_v_7,monster-trucks,Complex-editing,Complex-editing/TokenFlow,TokenFlow,Two toy cars are racing on a concrete track and a wooden ramp,"Two toy trucks are racing on a dirt track and a wooden ramp, in sunset colors",3,4,3,3,3,2,3,3,3,3,3,3
1157,2,1.75,1.75,skate-jump,skate-jump_1_v_7,skate-jump,Complex-editing,Complex-editing/TokenFlow,TokenFlow,"A skateboarder jumps over a wooden table on a concrete road, with trees in the background and the sunlight of the day","A cyclist jumps over a picnic table on a concrete road, with mountain range in the background and the sunlight of the day, in cityscape at night colors",2,2,2,2,2,2,1,2,2,2,1,2
1158,2,2.25,2.25,crafting,crafting_1_v_7,crafting,Complex-editing,Complex-editing/TokenFlow,TokenFlow,A person is holding a pencil and crafting a model,"A student is holding a paintbrush and crafting a model, in rainy day colors",2,3,1,2,2,3,2,2,2,3,2,2
1159,1.75,2,2,motorbike,motorbike_1_v_7,motorbike,Complex-editing,Complex-editing/TokenFlow,TokenFlow,Two people riding motorcycles on a road near a mountain,"Two aliens riding Harley Davidson motorcycles on a road near a volcano, in Manga style",1,2,1,3,2,2,1,3,2,2,1,3
2000,2,1.5,1.5,peacock,peacock_2_v_0,peacock,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A peacock is fanning its feathers on the concrete ground next to an iron fence,A swan is fanning its feathers on the concrete ground next to an iron fence,2,2,2,2,1,1,2,2,1,1,2,2
2001,3.5,2,2,gold-fish,gold-fish_2_v_0,gold-fish,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,Goldfish in an aquarium with a blue background,Betta fish in an aquarium with a blue background,3,4,4,3,2,2,2,2,2,2,2,2
2002,3.25,2,1.75,horse-race,horse-race_2_v_0,horse-race,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,"Horses are racing in a muddy track during a rainstorm, with one horse running ahead and the others closely behind","Dogs are racing in a muddy track during a rainstorm, with one dog running ahead and the others closely behind",4,4,3,2,2,2,2,2,2,2,2,1
2003,3.25,2,2,ocean-birds,ocean-birds_2_v_0,ocean-birds,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,Two white birds walking on the beach near the sea,Two black birds walking on the beach near the sea,3,4,3,3,2,2,2,2,3,2,2,1
2004,2.5,1.5,1.5,monkeys,monkeys_2_v_0,monkeys,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A mother monkey and a baby monkey are picking things to eat on the grassland,A mother gorilla and a baby gorilla are picking things to eat on the grassland,3,2,2,3,1,1,2,2,1,1,2,2
2005,3.25,1.75,1.75,sheep,sheep_2_v_0,sheep,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A group of sheep in a field with a fence,A group of cows in a field with a fence,4,3,3,3,2,1,2,2,2,1,2,2
2006,3.25,2,2,camel,camel_2_v_0,camel,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A camel walking in an enclosure with a fence,A giraffe walking in an enclosure with a fence,3,3,4,3,2,2,2,2,1,2,3,2
2007,3.25,2,2,dog-competition,dog-competition_2_v_0,dog-competition,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,"A woman competes with her dog in a dog competition, while a crowd watches in the background","A woman competes with her cat in a cat competition, while a crowd watches in the background",3,3,4,3,2,2,2,2,1,2,2,3
2008,1,1.25,1,videvo_swans,videvo_swans_2_v_0,videvo_swans,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A group of swans are swimming calmly on the water.,A group of black swans are swimming calmly on the water. ,1,1,1,1,1,2,1,1,1,1,1,1
2009,3.25,2,1.75,butterfly,butterfly_2_v_0,butterfly,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A blue butterfly flying over a plant,A yellow butterfly flying over a plant,3,3,4,3,2,2,2,2,1,2,3,1
2010,3.75,2.5,3,cat-girl,cat-girl_2_v_0,cat-girl,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A little girl is sitting on a chair holding a cat in her arms,A little girl is sitting on a chair holding a dog in her arms,4,4,4,3,3,2,2,3,4,2,3,3
2011,3.25,1.75,1.5,horsejump-low,horsejump-low_2_v_0,horsejump-low,CE_animal,CE_animal/Text2Video-Zero,Text2Video-Zero,A woman rides a gray horse jumping through a set of blue hurdles in the arena,A woman rides a gray donkey jumping through a set of blue hurdles in the arena,3,3,4,3,2,1,2,2,1,1,2,2
2012,2.25,1.5,1.25,hurdles-race,hurdles-race_2_v_1,hurdles-race,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A group of women are running on an athletic track while jumping over hurdles as an audience watches on,A group of robots are running on an athletic track while jumping over hurdles as an audience watches on,2,2,3,2,2,1,2,1,1,1,2,1
2013,2.75,1.5,1.25,NextQA_man_jump_warehouse,NextQA_man_jump_warehouse_2_v_1,NextQA_man_jump_warehouse,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A man in overalls and a hat is dancing in a workshop.,A spiderman is dancing in a workshop.,3,3,3,2,1,2,1,2,1,1,2,1
2014,3.5,2.5,2,mbike-trick,mbike-trick_2_v_1,mbike-trick,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A man wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him,A robot wearing a helmet and a white T-shirt is riding a motorcycle in a training ground to create smoke circles around him,4,4,3,3,3,2,2,3,2,2,2,2
2015,3,1.75,1.75,volleyball-beach,volleyball-beach_2_v_1,volleyball-beach,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A group of people playing volleyball on the beach,A group of aliens playing volleyball on the beach.,3,3,3,3,1,2,2,2,1,2,2,2
2016,2,1.5,1.5,aerobatics,aerobatics_2_v_1,aerobatics,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A man is riding in a hang glider and has a view of the earth below,An astronaut is riding in a hang glider and has a view of the earth below,2,2,2,2,1,1,2,2,2,1,2,1
2017,1.75,1.25,1,dogs-jump,dogs-jump_2_v_1,dogs-jump,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,"A woman holds snacks in her hand, and her two huskies are also jumping in the air, trying to catch the snacks thrown from her hand, on the grass","A chef holds snacks in her hand, and her two assistants are also jumping in the air, trying to catch the snacks thrown from her hand, on the grass",1,2,2,2,1,1,1,2,1,1,1,1
2018,2.75,1.5,1.25,horsejump-stick,horsejump-stick_2_v_1,horsejump-stick,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A young girl riding a piebald horse and jumping obstacles in the arena,A young boy riding a piebald horse and jumping obstacles in the arena,3,3,3,2,1,1,2,2,1,1,2,1
2019,1.75,1.25,1,schoolgirls,schoolgirls_2_v_1,schoolgirls,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,Four shoolgirls standing in front of trees and a fence,Four astronauts standing in front of trees and a fence,1,2,2,2,1,1,1,2,1,1,1,1
2020,2.75,1.5,1.25,breakdance,breakdance_2_v_1,breakdance,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A man is breakdancing in the street while a crowd of people watches,A woman is breakdancing in the street while a crowd of people watches,3,3,2,3,2,1,1,2,2,1,1,1
2021,3,1.75,1.75,judo,judo_2_v_1,judo,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,Two men in white uniforms are practicing Judo inside a Karate studio,Two girl in white uniforms are practicing Judo inside a Karate studio,2,4,3,3,1,2,2,2,1,2,2,2
2022,3,2,2,tennis-vest,tennis-vest_2_v_1,tennis-vest,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,A man wearing a tank top and undershirt is playing a game of tennis on a clay court,A woman wearing a tank top and undershirt is playing a game of tennis on a clay court,3,3,3,3,2,2,2,2,2,2,2,2
2023,4,1.75,2.25,hike,hike_2_v_1,hike,CE_human,CE_human/Text2Video-Zero,Text2Video-Zero,"A man carrying a backpack is walking on the mountain, stepping on rocks, with the mountain as the background","A woman carrying a backpack is walking on the mountain, stepping on rocks, with the mountain as the background",4,4,5,3,2,2,1,2,2,2,3,2
2024,3.5,1.75,1.75,e-bike,e-bike_2_v_2,e-bike,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A man is riding a weird looking four wheeled scooter at a trade show,A man is riding a futuristic four-wheeled scooter at a technology trade show,4,4,3,3,2,2,1,2,3,2,1,1
2025,2.25,1.25,1,aerobatics,aerobatics_2_v_2,aerobatics,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A man is riding in a hang glider and has a view of the earth below,A man is riding in a paraglider and has a view of the earth below,2,2,3,2,1,1,1,2,1,1,1,1
2026,2.5,1.25,1.25,curling,curling_2_v_2,curling,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,"A group of women in blue and yellow striped clothing are pushing a curling stone, with a stadium full of spectators in the background","A group of women in blue and yellow striped clothing are pushing a basketball, with a stadium full of spectators in the background",3,2,2,3,1,1,1,2,1,1,1,2
2027,2.75,1.75,1.75,golf,golf_2_v_2,golf,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,"A man wearing a baseball cap is walking with a golf club towards a golf cart, with grass and trees in the background","A man wearing a baseball cap is walking with a golf club towards a red-colored golf cart, with lush green grass and tall trees in the background.",3,3,2,3,2,2,1,2,2,2,1,2
2028,3.25,2,1.5,city-ride,city-ride_2_v_2,city-ride,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A young boy rides a bike down a street with a graffiti wall,A young boy rides a scooter down a street with a graffiti wall,3,3,4,3,2,2,2,2,1,2,2,1
2029,2.75,1.5,1,drift-turn,drift-turn_2_v_2,drift-turn,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A vehicle drifts through a course while driving over several obstacles,A truck drifts through a course while driving over several obstacles,3,3,3,2,2,1,1,2,1,1,1,1
2030,3.25,1.75,1.75,car-competition,car-competition_2_v_2,car-competition,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A group of race cars driving down a race track,A pack of NASCAR race cars driving down a race track,3,4,3,3,2,2,1,2,2,2,1,2
2031,3,1.75,1.75,motorbike,motorbike_2_v_2,motorbike,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,Two people riding motorcycles on a road near a mountain,Two people riding Harley Davidson motorcycles on a road near a mountain,3,3,3,3,2,1,2,2,2,1,2,2
2032,3.25,2,1.75,bmx-bumps,bmx-bumps_2_v_2,bmx-bumps,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A young boy in a bicycle helmet is seen performing various tricks on his bicycle while racing in an outdoor dirt track,A young boy in a bicycle helmet is seen performing various tricks on his BMX bike while racing in an outdoor dirt track,3,4,3,3,2,2,2,2,1,2,2,2
2033,4.25,3.25,3.5,car-roundabout,car-roundabout_2_v_2,car-roundabout,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A black car is driving on the roundabout road,A silver car is driving on the roundabout road,4,5,4,4,3,3,3,4,3,4,3,4
2034,3,2,1.5,mbike-santa,mbike-santa_2_v_2,mbike-santa,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A man dressed as Santa Claus is riding a motorcycle on the street,A man dressed as Santa Claus is riding a Harley Davidson motorcycle on the street,3,4,3,2,2,2,2,2,1,2,2,1
2035,2.25,1.5,1.25,guitar-violin,guitar-violin_2_v_2,guitar-violin,CE_object,CE_object/Text2Video-Zero,Text2Video-Zero,A man dressed in a suit is playing a song on the violin in a candlelit bar,A man dressed in a suit is playing a song on the green violin in a candlelit bar,2,2,3,2,1,1,2,2,1,1,2,1
2036,4,3.5,3.5,motocross-bumps,motocross-bumps_2_v_3,motocross-bumps,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,A person riding a dirt bike over a dirt track,A person riding a dirt bike over a rocky terrain,4,4,4,4,4,3,3,4,3,4,3,4
2037,2,1,1,rollercoaster,rollercoaster_2_v_3,rollercoaster,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,A roller coaster is running on an orange track on a sunny day.,A roller coaster is running on an orange track on a rainy day,2,2,2,2,1,1,1,1,1,1,1,1
2038,3.25,2.25,1.75,boxing-fisheye,boxing-fisheye_2_v_3,boxing-fisheye,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,A boxing match between two young men is taking place in an outdoor ring while a crowd of people watches,A boxing match between two young men is taking place in a space ship while a group of people watches,4,3,3,3,3,2,2,2,1,2,2,2
2039,3.75,3,3,classic-car,classic-car_2_v_3,classic-car,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,"An old race car is driven through a crowd on a track while people watch, cheering and clapping","An old race car is driven through a crowd on a narrow mountain road while people watch, cheering and clapping",4,4,4,3,3,3,3,3,3,3,3,3
2040,2.5,1.5,1.25,horsejump-stick,horsejump-stick_2_v_3,horsejump-stick,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,A young girl riding a piebald horse and jumping obstacles in the arena,A young girl riding a piebald horse and jumping obstacles in the desert oasis,3,3,2,2,1,1,2,2,1,1,2,1
2041,2.25,1.5,1,india,india_2_v_3,india,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,"People walking on busy streets in India, some motorcycles passing by","People walking on the dirt road in India, some motorcycles passing by",2,3,2,2,2,1,1,2,1,1,1,1
2042,1.75,1.5,1.25,hurdles-race,hurdles-race_2_v_3,hurdles-race,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,A group of women are running on an athletic track while jumping over hurdles as an audience watches on,A group of women are running on a sandy track while jumping over hurdles as an audience watches on,1,2,2,2,1,1,2,2,1,1,2,1
2043,3,2,2,speed-skating,speed-skating_2_v_3,speed-skating,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,"Three men are competing in a short track speed skating competition, skating closely on the track","Three men are competing in a short track speed skating competition, skating closely on the ice rink",3,3,3,3,2,2,2,2,2,2,2,2
2044,2.75,2,2,scooter-gray,scooter-gray_2_v_3,scooter-gray,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,A man riding a motorcycle on a street,A man riding a motorcycle on a dirt road,3,3,2,3,2,2,2,2,2,2,2,2
2045,3.75,2.5,2.75,kite-surf,kite-surf_2_v_3,kite-surf,CE_other,CE_other/Text2Video-Zero,Text2Video-Zero,A person in a black helmet is water skiing on the surface of a large body of water while attached to a rope,A person in a black helmet is water skiing on the surface of a large body of icy water while attached to a rope,4,4,4,3,3,2,3,2,3,2,4,2
